Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curva,alpha_fuzzy,radio_curva
S,40,13.00,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,28.30,24.90,0.00,0.59,0.03,0.00,-13.51,-43.69,2.18,0.99,0.19
L,40,24.00,24.90,0.00,0.07,0.03,0.00,-1.92,-92.07,1.85,0.99,0.19
S,40,13.20,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
S,40,13.20,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,26.50,24.90,0.00,0.05,0.03,0.00,-1.43,-96.57,1.16,0.99,0.19
L,40,28.20,24.90,0.00,0.04,0.03,0.00,-0.99,-98.93,0.71,0.99,0.19
S,40,13.20,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,28.10,24.90,0.00,-0.01,0.02,0.00,0.17,-91.86,0.82,0.99,0.19
S,40,13.40,13.10,0.12,0.00,-0.00,0.00,0.00,0.00,0.00,0.99,0.01
S,40,13.40,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,24.90,24.90,0.00,0.01,0.02,0.00,-0.32,-58.19,1.04,0.99,0.19
L,40,28.30,24.90,0.00,0.03,0.02,0.00,-0.83,-85.15,1.51,0.99,0.19
S,40,13.30,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,27.80,24.90,0.00,0.02,-0.03,0.00,-0.48,106.20,0.94,0.99,0.19
S,40,13.50,13.10,0.12,0.00,-0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,26.00,24.90,0.00,-0.01,-0.03,0.00,0.23,102.78,0.48,0.99,0.19
S,40,13.30,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,29.30,24.90,0.00,0.06,-0.03,0.00,-1.62,69.33,0.75,0.99,0.19
S,40,13.50,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,29.50,24.90,0.00,-0.01,0.03,0.00,0.37,-96.40,3.63,0.99,0.19
S,40,13.10,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,31.40,24.90,0.00,0.07,0.02,0.00,-1.86,-57.16,1.21,0.99,0.19
S,40,13.20,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
S,40,13.10,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,28.80,24.90,0.00,0.07,0.03,0.00,-1.79,-94.98,2.33,0.99,0.19
L,40,26.60,24.90,0.00,0.06,0.02,0.00,-1.67,-74.16,1.45,0.99,0.19
S,40,13.00,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,28.90,24.90,0.00,0.05,-0.03,0.00,-1.20,111.51,1.01,0.99,0.19
S,40,13.30,13.10,0.12,0.00,-0.00,0.00,0.00,0.00,0.00,0.99,0.01
